latitude,longitude,RSRP,RSRQ,SINR,ServingCell,azimuth,tx_power,height,band,earfcn,reference_signal_power,PCI,Mtilt,Etilt
-33.89311900000001,18.609066,-94.56252426785925,-12.570135542728138,10.156137911527557,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.89291900000001,18.609066,-94.84513658950519,-12.617097484446472,9.895564041624121,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.892719000000014,18.609066,-94.85960746219962,-12.330257602027567,9.623674314668452,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.892519000000014,18.609066,-95.26090939919962,-12.741211459405717,10.580539210602382,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.892319000000015,18.609066,-94.0562711372885,-12.620623274831907,10.348430540014771,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.892119000000015,18.609066,-93.1513036379642,-12.58186829350843,11.609908554153689,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.891919000000016,18.609066,-93.75897230801515,-12.575817546913166,11.03045574508986,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.891719000000016,18.609066,-88.82690193849183,-12.3870960116817,11.809635776346495,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89151900000002,18.609066,-88.65692404026754,-12.193452144194056,10.856668647221515,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89131900000002,18.609066,-88.45953671749439,-12.70769407725831,10.587717231222525,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89111900000002,18.609066,-87.10591378622608,-12.218595935948558,10.144631278863187,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89091900000002,18.609066,-86.21384395204726,-12.128206007813919,9.693591278268823,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89071900000002,18.609066,-86.0530913892149,-11.922245771340044,10.007104748473994,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89051900000002,18.609066,-86.56164423366708,-12.020138284936452,9.829799337789149,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89031900000002,18.609066,-86.94916639960313,-11.722381432491437,9.686209234350356,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89011900000002,18.609066,-92.58824527679533,-12.778717301212259,10.414370307023244,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.88991900000002,18.609066,-92.58786904664488,-12.260590464155452,11.551631667303331,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.88971900000002,18.609066,-91.46257442846338,-12.203591285293529,10.633907752151833,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.88951900000002,18.609066,-92.16217024793195,-12.798368226801502,10.998321229272243,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.88931900000002,18.609066,-91.67849299085842,-13.2329091664636,10.83687710795882,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.88911900000002,18.609066,-92.44534894038266,-13.195700958056708,10.228902139009797,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.88891900000002,18.609066,-93.06391774221599,-13.00800303605671,9.971856314797133,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.88871900000002,18.609066,-92.44534894038266,-13.130588853723376,9.838861060198196,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.888519000000024,18.609066,-91.05581939408792,-13.218089130541683,10.519580408684005,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.888319000000024,18.609066,-85.26286247024709,-11.61583002899546,8.344777668219917,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.888119000000025,18.609066,-85.80166520617719,-10.982848685397672,8.636819915915453,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.887919000000025,18.609066,-84.62774546509665,-11.314834646021348,8.342064126542803,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.887719000000025,18.609066,-83.46788317317855,-11.314834646021348,8.34517221567743,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.887519000000026,18.609066,-82.69479369441895,-11.240102384864041,9.203546209937988,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.887319000000026,18.609066,-84.26186148113372,-11.20789973034958,9.026503327746967,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.88711900000003,18.609066,-85.37966895932188,-11.612359694594023,9.759437515200663,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.88691900000003,18.609066,-85.51151929943298,-12.05710223023069,9.504646282123883,L13341A1,320,52.4,12.0,1800,1303.0,18.7,9,0.0,0.0
-33.89431900000001,18.609265999999998,-92.57750507638167,-13.015405601188743,10.502997268764085,L09656A5,15,49.0,20.2,2600,40090.0,15.2,284,0.0,7.0
-33.89411900000001,18.609265999999998,-92.14271429818172,-12.789182774598675,10.305301141698653,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.89391900000001,18.609265999999998,-91.01428363399768,-13.12167714740352,10.342042993925647,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.89371900000001,18.609265999999998,-91.52926507374767,-13.114896945759906,9.487161092715928,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.89351900000001,18.609265999999998,-94.69096391199999,-13.52401425917066,9.827834930177724,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.89331900000001,18.609265999999998,-95.99554610334059,-13.765609083309919,10.609822260869029,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.89311900000001,18.609265999999998,-95.64625997968314,-13.543749452917327,10.098824285469505,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.89291900000001,18.609265999999998,-95.34878056885789,-13.543749452917327,9.510230665349438,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.892719000000014,18.609265999999998,-95.19801455294936,-13.04594396447073,9.675337878439128,L12526A1,210,45.9,16.0,1800,1303.0,15.2,330,0.0,8.0
-33.892519000000014,18.609265999999998,-84.43488081156734,-11.081730550382035,8.758402759505596,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.892319000000015,18.609265999999998,-85.05593640210286,-11.28980031137794,9.147307281887468,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.892119000000015,18.609265999999998,-84.68231751694314,-11.331842807025517,8.105139697961,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.891919000000016,18.609265999999998,-84.78603644690777,-11.354836305481886,8.846793266048273,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.891719000000016,18.609265999999998,-85.00304655218751,-11.463323415957312,10.462489569128344,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89151900000002,18.609265999999998,-84.24667465493293,-11.307434934151003,10.483585788292853,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89131900000002,18.609265999999998,-84.10270536916624,-11.532501363564537,10.580671585629428,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89111900000002,18.609265999999998,-83.39313438263328,-11.712599317456762,9.969935429588993,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
-33.89091900000002,18.609265999999998,-83.26010997596661,-12.019391845641001,10.997635563045192,L03369A1,0,50.0,17.0,1800,1303.0,18.0,314,1.2,4.0
