Timestamp,Latitude,Longitude,Battery Level,Make,Model,OS Version,Network Type,Download Speed (KB/s),Upload Speed (KB/s),Total Rx (KB),Total Tx (KB), HotSpot, Running Apps, MOS, Jitter, Latency, Packet Loss,Call State, PCI, RSRP, RSRQ, SINR, DL THPT, UL THPT, EARFCN, VOLTE CALL, BAND, CQI, BLER, Alpha Long, Alpha Short, No of Cells,CellInfo_1,CellInfo_2
19:35.2,28.696933,77.11729,11,samsung,SM-A315F,12,LTE (4G),1.14,0.59,1763386,244430,,Whatsapp,3.97,32.51,36.57,0,Idle,229,-112,-9,0,30,12,38750,0,38,,Medium,JIO 4G,JIO 4G,2,CellInfoLte:{mRegistered=YES mTimeStamp=384376063698134ns mCellConnectionStatus=0 CellIdentityLte:{ mCi=1****01 mPci=229 mTac=*4 mEarfcn=38750 mBands=[] mBandwidth=2147483647 mMcc=405 mMnc=872 mAlphaLong=JIO 4G mAlphaShort=JIO 4G mAdditionalPlmns={} mCsgInfo=null} CellSignalStrengthLte: rssi=-103 rsrp=-112 rsrq=-9 rssnr=0 cqiTableIndex=2147483647 cqi=2147483647 ta=0 level=1 parametersUseForLevel=0 android.telephony.CellConfigLte :{ isEndcAvailable = false }},CellInfoLte:{mRegistered=NO mTimeStamp=384376063698134ns mCellConnectionStatus=0 CellIdentityLte:{ mCi=0 mPci=120 mTac=6***5 mEarfcn=38750 mBands=[] mBandwidth=2147483647 mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={} mCsgInfo=null} CellSignalStrengthLte: rssi=-103 rsrp=-119 rsrq=-17 rssnr=0 cqiTableIndex=2147483647 cqi=0 ta=0 level=0 parametersUseForLevel=0 android.telephony.CellConfigLte :{ isEndcAvailable = false }}
19:45.3,28.696933,77.11729,11,samsung,SM-A315F,12,LTE (4G),5.9,0.92,1763446,244439,,,4,28.15,34.14,0,Idle,229,-111,-8,0,30,12,38750,0,38,,Medium,JIO 4G,JIO 4G,2,CellInfoLte:{mRegistered=YES mTimeStamp=384393802689904ns mCellConnectionStatus=0 CellIdentityLte:{ mCi=1****01 mPci=229 mTac=*4 mEarfcn=38750 mBands=[] mBandwidth=2147483647 mMcc=405 mMnc=872 mAlphaLong=JIO 4G mAlphaShort=JIO 4G mAdditionalPlmns={} mCsgInfo=null} CellSignalStrengthLte: rssi=-103 rsrp=-111 rsrq=-8 rssnr=0 cqiTableIndex=2147483647 cqi=2147483647 ta=0 level=1 parametersUseForLevel=0 android.telephony.CellConfigLte :{ isEndcAvailable = false }},CellInfoLte:{mRegistered=NO mTimeStamp=384393802689904ns mCellConnectionStatus=0 CellIdentityLte:{ mCi=0 mPci=120 mTac=6***5 mEarfcn=38750 mBands=[] mBandwidth=2147483647 mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={} mCsgInfo=null} CellSignalStrengthLte: rssi=-101 rsrp=-120 rsrq=-18 rssnr=0 cqiTableIndex=2147483647 cqi=0 ta=0 level=0 parametersUseForLevel=0 android.telephony.CellConfigLte :{ isEndcAvailable = false }}
