latitude,longitude,RSRP,RSRQ,SINR,ServingCell,azimuth,tx_power,height,band,earfcn,reference_signal_power,PCI,Mtilt,Etilt
28.64305999999999,77.359442,-86.95802407030449,-11.5616,2.0996363,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64325999999999,77.359442,-86.8618064871214,-11.071832,1.7257231,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64345999999999,77.359442,-85.29560717466916,-10.186585,2.757438,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64365999999999,77.359442,-85.61959905141988,-10.155335,2.9238737,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64385999999999,77.359442,-85.763196091823,-10.508389,2.9073122,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64405999999999,77.359442,-86.91100506847712,-10.211132,3.2633483,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64425999999999,77.359442,-89.21531346674547,-10.565826,3.4092891,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.644459999999988,77.359442,-89.25179023729962,-11.183056,3.1797607,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.644659999999988,77.359442,-94.66796067091393,-13.814899,4.397185,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.644859999999987,77.359442,-93.93275787724124,-13.719761,4.505283,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.645059999999987,77.359442,-93.1326477234345,-13.835787,4.711443,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.645259999999986,77.359442,-92.38732487602046,-13.460316,5.0504594,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.646059999999984,77.359442,-88.49538528341269,-13.190414,4.608819,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.646259999999984,77.359442,-87.17182375665439,-12.179639,5.1686287,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.646459999999983,77.359442,-87.0220286802602,-11.786003,5.080077,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.646659999999983,77.359442,-87.52337497774677,-11.55935,4.683015,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.646859999999982,77.359442,-87.87713468821786,-11.699992,5.4376135,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.647059999999982,77.359442,-88.42779061429606,-11.64537,5.7004414,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64725999999998,77.359442,-89.81730854189357,-11.427838,5.846408,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64745999999998,77.359442,-92.06152075351822,-10.795097,5.477256,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64765999999998,77.359442,-93.10897350797919,-10.870822,3.2942104,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64785999999998,77.359442,-93.23551864462895,-10.536422,3.1173487,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64805999999998,77.359442,-94.23602467486596,-10.684877,2.9856772,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.641059999999996,77.35964200000001,-89.07964873486668,-12.87591,10.500079,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.641259999999996,77.35964200000001,-91.22564408175906,-12.713219,5.967128,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.641459999999995,77.35964200000001,-92.11111342445382,-12.777931,4.764009,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.641659999999995,77.35964200000001,-93.96088982683982,-12.349149,2.8807578,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.641859999999994,77.35964200000001,-93.75052077922078,-12.294763,2.6668916,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.642059999999994,77.35964200000001,-93.49221125541125,-12.15597,3.4609902,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.642259999999993,77.35964200000001,-94.35625007215009,-12.207465,2.7388349,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.642459999999993,77.35964200000001,-94.25108362193363,-12.21907,2.3094082,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.642659999999992,77.35964200000001,-93.98702311979035,-12.416428,1.9981097,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64285999999999,77.35964200000001,-93.50168978645702,-12.492913,1.7213672,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64305999999999,77.35964200000001,-93.4826064531237,-12.4295,2.3719265,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64325999999999,77.35964200000001,-93.17748264359989,-12.657955,1.6624814,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64345999999999,77.35964200000001,-93.3771341587514,-11.602121,2.4214237,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
28.64365999999999,77.35964200000001,-93.12119367463457,-11.749415,4.23724,L02813C1,260,48.9,46.0,1800,1303.0,18.2,434,0.0,5.0
